Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR4588269_1.pr	(1.0, 2.32194722847208)	(2.0, 1.0063407649826142)	(3.0, 0.7829822049498876)	(4.0, 0.6610758846389855)	(5.0, 0.5318060953160155)	(6.0, 0.5448967068930252)	(7.0, 0.3722642667212109)	(8.0, 0.32726528942524036)	(9.0, 0.30190222949478424)	('>10', 4.269993863775824)	('>50', 1.6575986909388423)	('>100', 8.790345673961955)	('>500', 8.261812231540192)	('>1k', 55.763550828390265)	('>5k', 5.199427285743506)	('>10k+', 9.206790754755573)
ERR4588269_2.pr	(1.0, 2.8799345469421147)	(2.0, 1.2566987113929229)	(3.0, 0.9302515851912456)	(4.0, 0.6938024135815095)	(5.0, 0.6668030272039271)	(6.0, 0.5203518101861321)	(7.0, 0.4238085498056862)	(8.0, 0.3796277357332788)	(9.0, 0.4049907956637349)	('>10', 4.657803231744733)	('>50', 2.0298629576600535)	('>100', 8.069543874002862)	('>500', 8.674166496215994)	('>1k', 54.02822663121293)	('>5k', 5.058703211290652)	('>10k+', 9.325424422172224)
ERR4588270_1.pr	(1.0, 2.914792117388274)	(2.0, 1.2274714630989128)	(3.0, 0.9070253731748603)	(4.0, 0.6553756189407175)	(5.0, 0.583863638420943)	(6.0, 0.5594228349521594)	(7.0, 0.44355532221125904)	(8.0, 0.38381113595423233)	(9.0, 0.38290592101094406)	('>10', 5.491939060930018)	('>50', 1.8737949326067476)	('>100', 9.829729069167474)	('>500', 11.702618786830934)	('>1k', 45.939658371880405)	('>5k', 7.82196232495406)	('>10k+', 9.282074028478062)
ERR4588270_2.pr	(1.0, 3.579219885761874)	(2.0, 1.5207611047243168)	(3.0, 1.0482389043278326)	(4.0, 0.7314136741769334)	(5.0, 0.7649066270785998)	(6.0, 0.5974418625702673)	(7.0, 0.44355532221125904)	(8.0, 0.5431289659729703)	(9.0, 0.4399344624381059)	('>10', 6.008816793547628)	('>50', 1.4248083207357587)	('>100', 9.15624915136099)	('>500', 12.373383059807551)	('>1k', 44.81809705714622)	('>5k', 7.384743507345819)	('>10k+', 9.165301300793875)
ERR4588271_1.pr	(1.0, 1.6077075171989899)	(2.0, 0.740537778534772)	(3.0, 0.5665114005791005)	(4.0, 0.42654976043602866)	(5.0, 0.40729577819412455)	(6.0, 0.27992328028614377)	(7.0, 0.23845316468819655)	(8.0, 0.2665936002725179)	(9.0, 0.17995068018394958)	('>10', 3.8315424661389104)	('>50', 1.5343942771240475)	('>100', 4.603182831372143)	('>500', 8.484341328672883)	('>1k', 35.5169323963062)	('>5k', 29.70148922147263)	('>10k+', 11.614594518539363)
ERR4588271_2.pr	(1.0, 1.8750416552500426)	(2.0, 0.8797588808993092)	(3.0, 0.5842843072639351)	(4.0, 0.5006035382895059)	(5.0, 0.38878233373075527)	(6.0, 0.3110258669846042)	(7.0, 0.34212845368306466)	(8.0, 0.2902908091856306)	(9.0, 0.20661004021120138)	('>10', 3.9692824929463777)	('>50', 1.3559246724971674)	('>100', 5.00011108066678)	('>500', 6.741855935780563)	('>1k', 37.50971955834327)	('>5k', 28.5869798647778)	('>10k+', 11.45760050948999)
ERR4588272_1.pr	(1.0, 1.9860038760414522)	(2.0, 0.8961009017093218)	(3.0, 0.6487072591650932)	(4.0, 0.5259451745776548)	(5.0, 0.45178939759336456)	(6.0, 0.3664167803929633)	(7.0, 0.28353679435169776)	(8.0, 0.2891452144597534)	(9.0, 0.28042100540277803)	('>10', 4.771519196375714)	('>50', 1.9224417814834895)	('>100', 6.947586198301272)	('>500', 7.272251406778711)	('>1k', 27.933047927065612)	('>5k', 31.857695687124938)	('>10k+', 13.567391399176184)
ERR4588272_2.pr	(1.0, 2.5561932536937677)	(2.0, 1.124176652770248)	(3.0, 0.7477893477407415)	(4.0, 0.5832756912377783)	(5.0, 0.5047578097250005)	(6.0, 0.49354096950888937)	(7.0, 0.33151994416506203)	(8.0, 0.2841599521414817)	(9.0, 0.27481258529472247)	('>10', 5.25197385229914)	('>50', 2.245237516591576)	('>100', 6.708916764814019)	('>500', 7.291569298262013)	('>1k', 29.761392882291727)	('>5k', 27.619599558804286)	('>10k+', 14.221083920659549)
ERR4588273_1.pr	(1.0, 2.2981907438932656)	(2.0, 1.0926798368898214)	(3.0, 0.7423096718001504)	(4.0, 0.6176016469377252)	(5.0, 0.4750781899520963)	(6.0, 0.2969238687200602)	(7.0, 0.26327249693178667)	(8.0, 0.2850469139712578)	(9.0, 0.3384932103408686)	('>10', 3.38691159586682)	('>50', 1.1876954748802409)	('>100', 14.13159665861673)	('>500', 18.338018132150914)	('>1k', 45.81733243596342)	('>5k', 10.72884912308484)	('>10k+', 0.0)
ERR4588273_2.pr	(1.0, 2.72972009976642)	(2.0, 0.9937052139831348)	(3.0, 0.7779405360465577)	(4.0, 0.6651094659329347)	(5.0, 0.45528326537075897)	(6.0, 0.3919395067104794)	(7.0, 0.3602676273803397)	(8.0, 0.2850469139712578)	(9.0, 0.16033888910883248)	('>10', 3.6204917059266006)	('>50', 2.1814006888633752)	('>100', 13.917811473138286)	('>500', 12.193673542103804)	('>1k', 47.739419612811275)	('>5k', 13.527851458885943)	('>10k+', 0.0)
ERR4588274_1.pr	(1.0, 1.454147656020705)	(2.0, 0.8137890552042478)	(3.0, 0.5763227407348115)	(4.0, 0.4269057338776382)	(5.0, 0.38021291923477146)	(6.0, 0.2801568878572)	(7.0, 0.2428026361429067)	(8.0, 0.1814349368979962)	(9.0, 0.1801008564796286)	('>10', 2.454707969796419)	('>50', 0.5909976253368553)	('>100', 9.822834120440781)	('>500', 10.364470770298032)	('>1k', 51.46748846020438)	('>5k', 20.763627631473625)	('>10k+', 0.0)
ERR4588274_2.pr	(1.0, 1.7102910963472877)	(2.0, 0.7177352650817792)	(3.0, 0.49227567437765146)	(4.0, 0.41623309053069724)	(5.0, 0.346860908775581)	(6.0, 0.2721524053469943)	(7.0, 0.26147976200005335)	(8.0, 0.2134528669388191)	(9.0, 0.20411430401024575)	('>10', 2.3359748125617013)	('>50', 1.0672643346940953)	('>100', 9.011713226073267)	('>500', 10.736679207022599)	('>1k', 40.51602230582459)	('>5k', 16.17705915312575)	('>10k+', 15.520691587288882)
ERR4588275_1.pr	(1.0, 1.7673247899102806)	(2.0, 0.8958415091275694)	(3.0, 0.6698512794836056)	(4.0, 0.611662178437555)	(5.0, 0.45333369419597547)	(6.0, 0.381612244069448)	(7.0, 0.35048784118435117)	(8.0, 0.2598211023451561)	(9.0, 0.19486582675886707)	('>10', 1.7334939172090884)	('>50', 1.111005859507152)	('>100', 10.173620038702518)	('>500', 9.164106797298944)	('>1k', 56.60852267345089)	('>5k', 15.624450248318606)	('>10k+', 0.0)
ERR4588275_2.pr	(1.0, 1.9635438515771955)	(2.0, 0.9797420734265261)	(3.0, 0.6657915747594625)	(4.0, 0.5629457217478382)	(5.0, 0.38567194879359107)	(6.0, 0.3734928346211619)	(7.0, 0.3125972637590159)	(8.0, 0.31395049866706365)	(9.0, 0.23140316927615462)	('>10', 1.7551456757378514)	('>50', 1.4127772440017863)	('>100', 9.42934083927629)	('>500', 11.930118949348417)	('>1k', 53.00079840859575)	('>5k', 16.682679946411895)	('>10k+', 0.0)
ERR4588276_1.pr	(1.0, 1.8909225614170972)	(2.0, 0.9429355604573237)	(3.0, 0.777921837377292)	(4.0, 0.4647325262253953)	(5.0, 0.47988684773274515)	(6.0, 0.2828806681371971)	(7.0, 0.47146778022866187)	(8.0, 0.2828806681371971)	(9.0, 0.1363888935661486)	('>10', 2.0138409469767127)	('>50', 1.0961625890316389)	('>100', 6.555085958679217)	('>500', 18.311471821381065)	('>1k', 56.791661755543956)	('>5k', 9.501759585108353)	('>10k+', 0.0)
