Sample	0	1	2	3	4	5	6	7	8	9	10	11
ERR4588280_1	(27.0, 9.0)	(28.0, 192.0)	(29.0, 1495.0)	(30.0, 2945.0)	(31.0, 5362.0)	(32.0, 10147.0)	(33.0, 19464.0)	(34.0, 38364.0)	(35.0, 76421.0)	(36.0, 167649.0)	(37.0, 275289.0)	
ERR4588280_2	(27.0, 451.0)	(28.0, 16171.0)	(29.0, 42237.0)	(30.0, 54961.0)	(31.0, 70511.0)	(32.0, 90361.0)	(33.0, 112434.0)	(34.0, 116433.0)	(35.0, 74853.0)	(36.0, 18157.0)	(37.0, 768.0)	
ERR4588281_1	(27.0, 1.0)	(28.0, 58.0)	(29.0, 391.0)	(30.0, 678.0)	(31.0, 1364.0)	(32.0, 2599.0)	(33.0, 5392.0)	(34.0, 12715.0)	(35.0, 30495.0)	(36.0, 80215.0)	(37.0, 125811.0)	
ERR4588281_2	(27.0, 302.0)	(28.0, 11777.0)	(29.0, 27831.0)	(30.0, 34022.0)	(31.0, 40662.0)	(32.0, 45639.0)	(33.0, 45015.0)	(34.0, 34478.0)	(35.0, 16718.0)	(36.0, 3077.0)	(37.0, 198.0)	
ERR4588282_1	(27.0, 2.0)	(28.0, 45.0)	(29.0, 286.0)	(30.0, 597.0)	(31.0, 1117.0)	(32.0, 2239.0)	(33.0, 4276.0)	(34.0, 8713.0)	(35.0, 17971.0)	(36.0, 43168.0)	(37.0, 83091.0)	
ERR4588282_2	(27.0, 90.0)	(28.0, 4058.0)	(29.0, 11206.0)	(30.0, 14674.0)	(31.0, 18956.0)	(32.0, 24855.0)	(33.0, 30789.0)	(34.0, 31694.0)	(35.0, 20214.0)	(36.0, 4779.0)	(37.0, 190.0)	
ERR4588283_1	(27.0, 9.0)	(28.0, 161.0)	(29.0, 1276.0)	(30.0, 2603.0)	(31.0, 4587.0)	(32.0, 8942.0)	(33.0, 18385.0)	(34.0, 39449.0)	(35.0, 86025.0)	(36.0, 201014.0)	(37.0, 328884.0)	
ERR4588283_2	(27.0, 614.0)	(28.0, 23341.0)	(29.0, 58580.0)	(30.0, 73665.0)	(31.0, 91310.0)	(32.0, 112431.0)	(33.0, 130720.0)	(34.0, 120488.0)	(35.0, 66055.0)	(36.0, 13259.0)	(37.0, 872.0)	
ERR4588284_1	(27.0, 6.0)	(28.0, 157.0)	(29.0, 1054.0)	(30.0, 2384.0)	(31.0, 4411.0)	(32.0, 8214.0)	(33.0, 16035.0)	(34.0, 31814.0)	(35.0, 64698.0)	(36.0, 149552.0)	(37.0, 317838.0)	
ERR4588284_2	(27.0, 286.0)	(28.0, 12884.0)	(29.0, 36070.0)	(30.0, 47872.0)	(31.0, 62248.0)	(32.0, 82150.0)	(33.0, 106409.0)	(34.0, 121734.0)	(35.0, 96068.0)	(36.0, 29325.0)	(37.0, 1117.0)	
ERR4588285_1	(28.0, 42.0)	(29.0, 336.0)	(30.0, 714.0)	(31.0, 1324.0)	(32.0, 2500.0)	(33.0, 4999.0)	(34.0, 9836.0)	(35.0, 19777.0)	(36.0, 46364.0)	(37.0, 95388.0)		
ERR4588285_2	(27.0, 92.0)	(28.0, 4199.0)	(29.0, 11424.0)	(30.0, 15106.0)	(31.0, 19510.0)	(32.0, 25893.0)	(33.0, 33394.0)	(34.0, 36789.0)	(35.0, 26864.0)	(36.0, 7668.0)	(37.0, 341.0)	
ERR4588286_1	(28.0, 11.0)	(29.0, 104.0)	(30.0, 133.0)	(31.0, 227.0)	(32.0, 453.0)	(33.0, 911.0)	(34.0, 2440.0)	(35.0, 8247.0)	(36.0, 28613.0)	(37.0, 30676.0)		
ERR4588286_2	(26.0, 7.0)	(27.0, 1373.0)	(28.0, 6773.0)	(29.0, 11782.0)	(30.0, 12380.0)	(31.0, 12178.0)	(32.0, 12055.0)	(33.0, 9945.0)	(34.0, 4334.0)	(35.0, 784.0)	(36.0, 181.0)	(37.0, 23.0)
ERR4588287_1	(28.0, 18.0)	(29.0, 85.0)	(30.0, 96.0)	(31.0, 174.0)	(32.0, 365.0)	(33.0, 812.0)	(34.0, 2144.0)	(35.0, 6562.0)	(36.0, 22897.0)	(37.0, 26940.0)		
ERR4588287_2	(26.0, 4.0)	(27.0, 927.0)	(28.0, 5192.0)	(29.0, 9187.0)	(30.0, 9791.0)	(31.0, 9716.0)	(32.0, 9991.0)	(33.0, 9363.0)	(34.0, 4841.0)	(35.0, 940.0)	(36.0, 128.0)	(37.0, 13.0)
