Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR4588269_1	(1.0, 6.827095183166938)	(2.0, 2.1685692693210292)	(3.0, 1.311801439879082)	(4.0, 0.950373228325577)	(5.0, 0.7570634952202909)	(6.0, 0.687323495485462)	(7.0, 0.5512907203372976)	(8.0, 0.543070416186044)	(9.0, 0.36752714689153176)	('>10', 7.360884610795115)	('>50', 3.4803707092001113)	('>100', 15.901250281744295)	('>500', 9.68378346127839)	('>1k', 25.687124617159224)	('>5k', 8.414409397663842)	('>10k+', 15.30806252734577)
ERR4588269_2	(1.0, 7.928350768333267)	(2.0, 2.2969120825212466)	(3.0, 1.4271508690982857)	(4.0, 0.9938612889967252)	(5.0, 0.7451307956458905)	(6.0, 0.6730042559961815)	(7.0, 0.5475783249141508)	(8.0, 0.5451917849992708)	(9.0, 0.41764448510401336)	('>10', 7.408615409092717)	('>50', 3.594129111809395)	('>100', 14.531376370603134)	('>500', 9.029076011296288)	('>1k', 24.800392453230447)	('>5k', 9.787465362024847)	('>10k+', 15.274120626334142)
ERR4588270_1	(1.0, 8.327530122532862)	(2.0, 2.4351820041659313)	(3.0, 1.559903063166789)	(4.0, 1.0560296133978342)	(5.0, 0.861970244230061)	(6.0, 0.7056704333373569)	(7.0, 0.5741309885266653)	(8.0, 0.500159394856653)	(9.0, 0.4596142953973575)	('>10', 8.218894016348031)	('>50', 4.607904127862531)	('>100', 16.356388329201447)	('>500', 7.506104977762096)	('>1k', 23.86280281153957)	('>5k', 15.701167141756192)	('>10k+', 7.266548435918625)
ERR4588270_2	(1.0, 9.300303004979929)	(2.0, 2.562697889488296)	(3.0, 1.6304701065005245)	(4.0, 1.0300312290117208)	(5.0, 0.9285137280754696)	(6.0, 0.7130985431619606)	(7.0, 0.6456265455884765)	(8.0, 0.5150156145058604)	(9.0, 0.4986118719765272)	('>10', 7.905365880834549)	('>50', 3.8963531075806954)	('>100', 16.20999266474155)	('>500', 7.303688985041644)	('>1k', 25.326449951562534)	('>5k', 14.231639414788747)	('>10k+', 7.302141462161519)
ERR4588271_1	(1.0, 6.5351056977220825)	(2.0, 2.0865491596884698)	(3.0, 1.2922644492592374)	(4.0, 0.9331849856532178)	(5.0, 0.8010774726239973)	(6.0, 0.6731861568191134)	(7.0, 0.5591145985828893)	(8.0, 0.48907887802307193)	(9.0, 0.41951162382151436)	('>10', 6.676582537916496)	('>50', 3.549569596533349)	('>100', 11.629443110616618)	('>500', 8.978157756046144)	('>1k', 24.799672073549218)	('>5k', 5.924694032909762)	('>10k+', 24.65280787023482)
ERR4588271_2	(1.0, 6.958130819230544)	(2.0, 2.0977923522867012)	(3.0, 1.3105346372313638)	(4.0, 0.9463020436844879)	(5.0, 0.8362124494934708)	(6.0, 0.6071324003045031)	(7.0, 0.5181237922351701)	(8.0, 0.5040698014873807)	(9.0, 0.41529542659717744)	('>10', 6.511916612988229)	('>50', 3.0860221350354275)	('>100', 11.97587398254963)	('>500', 7.783100076125783)	('>1k', 24.352989400948644)	('>5k', 7.306201323417462)	('>10k+', 24.790302746384025)
ERR4588272_1	(1.0, 6.934827311259389)	(2.0, 2.2048764110957237)	(3.0, 1.3993453355155483)	(4.0, 0.9819967266775778)	(5.0, 0.845608292416803)	(6.0, 0.6748080070502329)	(7.0, 0.578706617986487)	(8.0, 0.4633010197658316)	(9.0, 0.46078307944101726)	('>10', 7.025682991313106)	('>50', 3.636325485752654)	('>100', 13.197784212514163)	('>500', 8.228628981493138)	('>1k', 25.727894582231738)	('>5k', 10.725586470267322)	('>10k+', 16.91384447521927)
ERR4588272_2	(1.0, 7.895631373536448)	(2.0, 2.3513366066557557)	(3.0, 1.4031222460027697)	(4.0, 1.04578454823954)	(5.0, 0.898065382517101)	(6.0, 0.6710310965630115)	(7.0, 0.5978009987829955)	(8.0, 0.4935163036636032)	(9.0, 0.4815560871207353)	('>10', 7.05610810357128)	('>50', 3.358512736581477)	('>100', 12.926266314155022)	('>500', 6.947626841243862)	('>1k', 24.664274623358093)	('>5k', 11.623651852784423)	('>10k+', 17.585714885223886)
ERR4588273_1	(1.0, 9.416503988896537)	(2.0, 3.0850475620902493)	(3.0, 1.7552273163245733)	(4.0, 1.1870775549813248)	(5.0, 0.8547635436296138)	(6.0, 0.6939664413626567)	(7.0, 0.5213211315602396)	(8.0, 0.5596867559607768)	(9.0, 0.4265354712765597)	('>10', 7.547872400446846)	('>50', 3.718080364699112)	('>100', 18.161609550783673)	('>500', 15.657124157930966)	('>1k', 25.58648627300527)	('>5k', 10.8286974870516)	('>10k+', 0.0)
ERR4588273_2	(1.0, 9.621872919511176)	(2.0, 2.9045034472641924)	(3.0, 1.6993714808002616)	(4.0, 1.1441983277101364)	(5.0, 0.8970785705419709)	(6.0, 0.707507249974611)	(7.0, 0.5726633642138996)	(8.0, 0.5371187416075196)	(9.0, 0.4773135035713883)	('>10', 7.525868586452421)	('>50', 3.8258426332359146)	('>100', 18.10801051669469)	('>500', 16.500039494025117)	('>1k', 24.079507114566525)	('>5k', 11.399104049830177)	('>10k+', 0.0)
