Sample	0	1	2	3	4	5	6	7	8	9	10	11
SRR33075539_1	(27.0, 30.0)	(28.0, 1077.0)	(29.0, 5920.0)	(30.0, 12045.0)	(31.0, 22620.0)	(32.0, 42590.0)	(33.0, 76384.0)	(34.0, 132345.0)	(35.0, 237488.0)	(36.0, 519802.0)	(37.0, 595311.0)	
SRR33075539_2	(26.0, 2.0)	(27.0, 700.0)	(28.0, 34315.0)	(29.0, 108094.0)	(30.0, 137795.0)	(31.0, 169189.0)	(32.0, 214297.0)	(33.0, 276250.0)	(34.0, 332345.0)	(35.0, 276800.0)	(36.0, 91610.0)	(37.0, 4215.0)
SRR33075540_1	(27.0, 19.0)	(28.0, 762.0)	(29.0, 4126.0)	(30.0, 8378.0)	(31.0, 15798.0)	(32.0, 29239.0)	(33.0, 53361.0)	(34.0, 92416.0)	(35.0, 166504.0)	(36.0, 366074.0)	(37.0, 428856.0)	
SRR33075540_2	(26.0, 1.0)	(27.0, 542.0)	(28.0, 25147.0)	(29.0, 77807.0)	(30.0, 99468.0)	(31.0, 121923.0)	(32.0, 153683.0)	(33.0, 198596.0)	(34.0, 236343.0)	(35.0, 191475.0)	(36.0, 58397.0)	(37.0, 2151.0)
SRR33075541_1	(27.0, 2.0)	(28.0, 88.0)	(29.0, 459.0)	(30.0, 1002.0)	(31.0, 2140.0)	(32.0, 4559.0)	(33.0, 9955.0)	(34.0, 20497.0)	(35.0, 42079.0)	(36.0, 102613.0)	(37.0, 138558.0)	
SRR33075541_2	(27.0, 130.0)	(28.0, 5698.0)	(29.0, 19504.0)	(30.0, 26162.0)	(31.0, 33459.0)	(32.0, 45916.0)	(33.0, 64220.0)	(34.0, 74260.0)	(35.0, 44901.0)	(36.0, 7494.0)	(37.0, 208.0)	
SRR33075542_1	(27.0, 3.0)	(28.0, 94.0)	(29.0, 528.0)	(30.0, 1155.0)	(31.0, 2250.0)	(32.0, 4764.0)	(33.0, 10375.0)	(34.0, 22391.0)	(35.0, 48116.0)	(36.0, 118902.0)	(37.0, 154645.0)	
SRR33075542_2	(26.0, 1.0)	(27.0, 173.0)	(28.0, 7228.0)	(29.0, 24133.0)	(30.0, 31981.0)	(31.0, 41304.0)	(32.0, 56605.0)	(33.0, 76121.0)	(34.0, 79196.0)	(35.0, 40277.0)	(36.0, 6009.0)	(37.0, 195.0)
SRR33075543_1	(27.0, 4.0)	(28.0, 92.0)	(29.0, 560.0)	(30.0, 1128.0)	(31.0, 2352.0)	(32.0, 4928.0)	(33.0, 10850.0)	(34.0, 22712.0)	(35.0, 48330.0)	(36.0, 118482.0)	(37.0, 149371.0)	
SRR33075543_2	(27.0, 156.0)	(28.0, 7082.0)	(29.0, 23402.0)	(30.0, 30891.0)	(31.0, 40485.0)	(32.0, 54496.0)	(33.0, 74077.0)	(34.0, 78947.0)	(35.0, 42840.0)	(36.0, 6274.0)	(37.0, 159.0)	
