Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR4588272_2	(1.0, 12.643902870547977)	(2.0, 2.649744064361572)	(3.0, 1.5787950924926606)	(4.0, 1.1409983889184185)	(5.0, 0.9522876480320001)	(6.0, 0.7476048684699007)	(7.0, 0.6345323957566669)	(8.0, 0.5950517837757892)	(9.0, 0.48608529470856654)	('>10', 7.593542985954099)	('>50', 3.1104405343014707)	('>100', 10.434251979202212)	('>500', 6.314055312877813)	('>1k', 21.876838788396043)	('>5k', 9.756448832714504)	('>10k+', 19.485419159490316)
ERR4588273_1	(1.0, 10.910218323477482)	(2.0, 3.407275580841344)	(3.0, 2.148202124379922)	(4.0, 1.444746503741487)	(5.0, 0.9879207421316667)	(6.0, 0.7945405117569575)	(7.0, 0.59100081275749)	(8.0, 0.5296936745046383)	(9.0, 0.39727025587847875)	('>10', 6.762002186037387)	('>50', 3.3785488074885794)	('>100', 12.182253860598077)	('>500', 14.630685799164823)	('>1k', 25.029777752865673)	('>5k', 13.026891062470222)	('>10k+', 3.778972001905776)
ERR4588273_2	(1.0, 13.773787169642107)	(2.0, 3.5214820212437994)	(3.0, 2.0431041730893194)	(4.0, 1.329839410330428)	(5.0, 1.0194501275188477)	(6.0, 0.741991536111656)	(7.0, 0.6008099548779462)	(8.0, 0.5296936745046383)	(9.0, 0.47609371934643085)	('>10', 6.904585073288305)	('>50', 3.4924049213867328)	('>100', 12.333945236960847)	('>500', 12.426431434096578)	('>1k', 23.799431069757013)	('>5k', 9.478083573890867)	('>10k+', 7.528866903954485)
ERR4588274_1	(1.0, 7.840499234219586)	(2.0, 2.577589566521123)	(3.0, 1.5012771281124568)	(4.0, 0.958156368140556)	(5.0, 0.6875888963081193)	(6.0, 0.5882980809567663)	(7.0, 0.4726242810724401)	(8.0, 0.5242555050551436)	(9.0, 0.3373405451562217)	('>10', 5.5334771395309)	('>50', 2.842447816470857)	('>100', 8.50276897261311)	('>500', 10.206599364042328)	('>1k', 34.87068612435678)	('>5k', 13.706848832215899)	('>10k+', 8.84954214522771)
ERR4588274_2	(1.0, 10.2723795292126)	(2.0, 2.5765966583676096)	(3.0, 1.4893622302702945)	(4.0, 1.0713478976410986)	(5.0, 0.7868797116594722)	(6.0, 0.6031917032594692)	(7.0, 0.4726242810724401)	(8.0, 0.49446826044973774)	(9.0, 0.43787249569946657)	('>10', 5.74844175476658)	('>50', 2.832022280858965)	('>100', 9.882166624881782)	('>500', 11.470571443465051)	('>1k', 27.501818263056123)	('>5k', 9.993372338075297)	('>10k+', 14.366884527264018)
ERR4588275_1	(1.0, 7.901713945834935)	(2.0, 2.4285341540671497)	(3.0, 1.30292428506098)	(4.0, 0.9045279705074503)	(5.0, 0.6887767269217713)	(6.0, 0.4932258598486655)	(7.0, 0.44777501269537545)	(8.0, 0.3882961262972429)	(9.0, 0.34845649484188995)	('>10', 5.815183388557048)	('>50', 3.0250063827578564)	('>100', 10.068484887593323)	('>500', 11.81806194221009)	('>1k', 32.001043686119814)	('>5k', 7.647806435503283)	('>10k+', 14.720182701183123)
ERR4588275_2	(1.0, 10.416380260865418)	(2.0, 2.577792491632275)	(3.0, 1.4022428029144653)	(4.0, 0.9819627471389814)	(5.0, 0.763125334919437)	(6.0, 0.5470935305488611)	(7.0, 0.5145484795008263)	(8.0, 0.43094136560156443)	(9.0, 0.37875705961074996)	('>10', 6.278108683636853)	('>50', 3.062320967149138)	('>100', 9.776140549730803)	('>500', 11.76110810287603)	('>1k', 29.45916297495434)	('>5k', 7.6447202668694185)	('>10k+', 14.005594382050843)
ERR4588276_1	(1.0, 7.639276966224651)	(2.0, 2.3888735108710977)	(3.0, 1.3819325119730925)	(4.0, 0.9985846420606777)	(5.0, 0.7520721153595061)	(6.0, 0.6094917768225998)	(7.0, 0.4972032318210068)	(8.0, 0.3885705929357448)	(9.0, 0.3736858323192546)	('>10', 5.949987204328592)	('>50', 2.9636341795885537)	('>100', 10.277796637610917)	('>500', 8.642562059006325)	('>1k', 25.438055893581797)	('>5k', 15.613330478244746)	('>10k+', 16.084942367251436)
ERR4588276_2	(1.0, 10.450929905834304)	(2.0, 2.4593802716860518)	(3.0, 1.4767249348465303)	(4.0, 1.0121637219213353)	(5.0, 0.8016879840811403)	(6.0, 0.6423949318695782)	(7.0, 0.5611815888567981)	(8.0, 0.5013814102396708)	(9.0, 0.40893921272673145)	('>10', 6.432566811684276)	('>50', 2.8570906299126237)	('>100', 10.165508092609326)	('>500', 9.502222268646426)	('>1k', 23.73153114570875)	('>5k', 12.877668158624545)	('>10k+', 16.118628930751917)
ERR4588277_1	(1.0, 8.688307968703214)	(2.0, 2.4891619908088476)	(3.0, 1.4870529728040827)	(4.0, 1.0987723432231522)	(5.0, 0.7518258628096807)	(6.0, 0.7362035072188302)	(7.0, 0.5809563485347532)	(8.0, 0.4322185046801974)	(9.0, 0.45402470935909284)	('>10', 7.002395427857263)	('>50', 3.471743064325049)	('>100', 11.398461197974301)	('>500', 8.055928033015244)	('>1k', 30.32657232499707)	('>5k', 17.963105203546277)	('>10k+', 5.063270540142945)
