Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR33075559_2	30.262000569147148	49.0	301.0	301	18.181818181818183	0.484149
SRR33075560_1	92.79858787078322	54.0	301.0	301	36.36363636363637	0.402796
SRR33075560_2	26.556883368030952	49.0	301.0	301	18.181818181818183	0.402796
SRR33075561_1	89.10310039066452	52.0	301.0	301	36.36363636363637	0.405207
SRR33075561_2	27.71916498503731	49.0	301.0	301	18.181818181818183	0.405207
SRR33075562_1	88.19672777227277	52.0	301.0	301	36.36363636363637	0.355232
SRR33075562_2	31.583239478283232	50.0	301.0	301	18.181818181818183	0.355232
SRR33075563_1	90.77674143734423	52.0	301.0	301	36.36363636363637	0.583785
SRR33075563_2	22.647021368358338	49.0	301.0	301	18.181818181818183	0.583785
SRR33075564_1	89.10629127658652	52.0	301.0	301	36.36363636363637	0.43805099999999997
SRR33075564_2	33.215372398605155	49.0	301.0	301	27.27272727272727	0.43805099999999997
SRR33075565_1	88.3113145229782	52.0	301.0	301	36.36363636363637	0.42388
SRR33075565_2	32.84789212763009	49.0	301.0	301	18.181818181818183	0.42388
SRR33075566_1	88.88517529302693	53.0	301.0	301	36.36363636363637	0.34408099999999997
SRR33075566_2	28.901832506330237	50.0	301.0	301	18.181818181818183	0.34408099999999997
SRR33075567_1	96.21328484500482	56.0	301.0	301	36.36363636363637	1.880865
SRR33075567_2	33.86614466485631	53.0	301.0	301	27.27272727272727	1.880865
SRR33075568_1	96.44179328353715	56.0	301.0	301	36.36363636363637	1.6106989999999999
SRR33075568_2	34.7934570926714	53.0	301.0	301	27.27272727272727	1.6106989999999999
SRR33075569_1	94.52861936550691	55.0	301.0	301	36.36363636363637	1.548165
SRR33075569_2	32.18413850979084	52.0	301.0	301	27.27272727272727	1.548165
SRR33075570_1	94.94609755212245	55.0	301.0	301	36.36363636363637	1.790735
SRR33075570_2	32.05604110536706	52.0	301.0	301	27.27272727272727	1.790735
