Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR33022256_1	(1.0, 2.6561469258200523)	(2.0, 0.8456265476065279)	(3.0, 0.2810788072315649)	(4.0, 0.1223744466858514)	(5.0, 0.09440997351740489)	(6.0, 0.08317638173178964)	(7.0, 0.056884996701626236)	(8.0, 0.045890417507194275)	(9.0, 0.043022266412994635)	('>10', 0.650353260609769)	('>50', 0.36831840301347074)	('>100', 1.1625572435155884)	('>500', 7.676845416216526)	('>1k', 85.91331491342964)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022256_2	(1.0, 2.656863963593602)	(2.0, 0.40154115318795)	(3.0, 0.21296021874432344)	(4.0, 0.17400116638144497)	(5.0, 0.1087507289884031)	(6.0, 0.11616011931508553)	(7.0, 0.10540455271183687)	(8.0, 0.08413243209652284)	(9.0, 0.06883562626079141)	('>10', 2.5361626050460337)	('>50', 1.192194804822318)	('>100', 2.644196296260887)	('>500', 1.4027648976548084)	('>1k', 7.536067000009561)	('>5k', 0.0)	('>10k+', 80.75996443492643)
SRR33022257_1	(1.0, 2.743364261737511)	(2.0, 0.7085122454667738)	(3.0, 0.2350935728971849)	(4.0, 0.12764530762115195)	(5.0, 0.08179802149773188)	(6.0, 0.07028570736101405)	(7.0, 0.055137925602174814)	(8.0, 0.04200984807784748)	(9.0, 0.04907881289863913)	('>10', 0.731132932893307)	('>50', 0.5344137404518483)	('>100', 1.9629505455221137)	('>500', 14.429978873893706)	('>1k', 78.22859820407899)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022257_2	(1.0, 2.6807534304676426)	(2.0, 0.3780886327006273)	(3.0, 0.21267485589410287)	(4.0, 0.1389556513344186)	(5.0, 0.13330047947778528)	(6.0, 0.10300491596010679)	(7.0, 0.08058619895702474)	(8.0, 0.06624629889199027)	(9.0, 0.10179309341939967)	('>10', 2.0518175318406375)	('>50', 1.4006648866340015)	('>100', 2.7074135263631995)	('>500', 1.4339900065034477)	('>1k', 6.281886080602357)	('>5k', 0.0)	('>10k+', 82.22882441095327)
SRR33022258_1	(1.0, 2.670900026428534)	(2.0, 0.8162281987066198)	(3.0, 0.3031191063919298)	(4.0, 0.14670533263096958)	(5.0, 0.09258976262861436)	(6.0, 0.047463489968843094)	(7.0, 0.05789107488624044)	(8.0, 0.06328465329179078)	(9.0, 0.05339642621494848)	('>10', 0.7058396273396893)	('>50', 0.5323461886278197)	('>100', 2.574354972969183)	('>500', 9.988727421132399)	('>1k', 81.94715371878242)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022258_2	(1.0, 2.3325428744536754)	(2.0, 0.33404228925041846)	(3.0, 0.19093267555648244)	(4.0, 0.133041600670242)	(5.0, 0.09348869236287277)	(6.0, 0.08198239176436535)	(7.0, 0.08683661232936066)	(8.0, 0.06616122844141764)	(9.0, 0.07604945551825995)	('>10', 1.8329177281528612)	('>50', 1.1614172166618424)	('>100', 2.6847435443361136)	('>500', 1.4165334752443741)	('>1k', 5.708024026593937)	('>5k', 1.0600179426374958)	('>10k+', 82.74126824602628)
SRR33022259_1	(1.0, 2.470458633480502)	(2.0, 0.9195906810220925)	(3.0, 0.4202060365082234)	(4.0, 0.20655289044951072)	(5.0, 0.11726179718227434)	(6.0, 0.08778497844104206)	(7.0, 0.0677751671787457)	(8.0, 0.053359496699456936)	(9.0, 0.04453796700317575)	('>10', 0.6882944755708175)	('>50', 0.4400006885096348)	('>100', 1.9758074927061011)	('>500', 2.2086098129835703)	('>1k', 90.29975988226485)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022259_2	(1.0, 2.5629771156610124)	(2.0, 0.4174089661167196)	(3.0, 0.25431824636596007)	(4.0, 0.16696358644668782)	(5.0, 0.15599046414155757)	(6.0, 0.12780460096563476)	(7.0, 0.17169709018615578)	(8.0, 0.11876791200846866)	(9.0, 0.11812243422581394)	('>10', 3.0163176783455112)	('>50', 1.1906913497370755)	('>100', 2.9139018701642954)	('>500', 2.172678216415791)	('>1k', 2.945960600036147)	('>5k', 1.6995430017298803)	('>10k+', 81.96685686745329)
SRR33022260_1	(1.0, 2.6132828907367536)	(2.0, 0.7660381902935207)	(3.0, 0.25201716536496965)	(4.0, 0.13628900318105583)	(5.0, 0.06755704899060958)	(6.0, 0.06873195419044625)	(7.0, 0.0472899342934267)	(8.0, 0.05639544959216103)	(9.0, 0.023791830296692934)	('>10', 0.6758642162060549)	('>50', 0.2743403641618667)	('>100', 5.334657059858483)	('>500', 14.149383321633236)	('>1k', 75.53436157120072)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022260_2	(1.0, 2.8127230484090315)	(2.0, 0.5251826243269997)	(3.0, 0.2643536699632548)	(4.0, 0.20443350477158373)	(5.0, 0.15567493897836118)	(6.0, 0.14803805517942273)	(7.0, 0.14803805517942273)	(8.0, 0.11279089918432206)	(9.0, 0.14803805517942273)	('>10', 2.76719547191536)	('>50', 1.2506865852261546)	('>100', 2.347754315573662)	('>500', 2.512534769850758)	('>1k', 12.492473263563546)	('>5k', 0.0)	('>10k+', 74.11008274269871)
SRR33022261_1	(1.0, 2.5070205058157784)	(2.0, 0.8625394859264665)	(3.0, 0.29863662201257324)	(4.0, 0.1266943244901826)	(5.0, 0.10322193847972466)	(6.0, 0.09162714539022135)	(7.0, 0.057408365784613995)	(8.0, 0.03846077707737686)	(9.0, 0.05344916814429578)	('>10', 0.6705184003710334)	('>50', 0.5347744812744092)	('>100', 2.0542579756622463)	('>500', 4.287811044464618)	('>1k', 88.31357976510647)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022261_2	(1.0, 2.9153834624314565)	(2.0, 0.42533094650275594)	(3.0, 0.2570650467892321)	(4.0, 0.16515510156755947)	(5.0, 0.13574391909662423)	(6.0, 0.12216952718696181)	(7.0, 0.11283713274906888)	(8.0, 0.15158070965789705)	(9.0, 0.11198873325471498)	('>10', 2.609959644464052)	('>50', 1.2793864374856834)	('>100', 2.6809424021583284)	('>500', 2.14418832206376)	('>1k', 4.515464908782914)	('>5k', 1.780790538648839)	('>10k+', 80.59201316716015)
SRR33022262_1	(1.0, 1.7140220578385699)	(2.0, 0.8248619524610417)	(3.0, 0.5550180838555078)	(4.0, 0.34292348222126307)	(5.0, 0.2232574754044681)	(6.0, 0.1339544852426809)	(7.0, 0.10418682185541846)	(8.0, 0.06906097905844881)	(9.0, 0.04420498013008469)	('>10', 0.6730468691860033)	('>50', 0.24841115096670488)	('>100', 1.403098813758614)	('>500', 1.2297021745278105)	('>1k', 25.354904966734637)	('>5k', 67.07934570675876)	('>10k+', 0.0)
SRR33022262_2	(1.0, 2.9581615491092026)	(2.0, 0.4182356705910369)	(3.0, 0.24201110333844345)	(4.0, 0.19289445874946046)	(5.0, 0.1280009525652284)	(6.0, 0.091089049965023)	(7.0, 0.09585187610698498)	(8.0, 0.09287510976825875)	(9.0, 0.06295860806406)	('>10', 1.2974236087338324)	('>50', 1.1183711134594492)	('>100', 3.5975709586675992)	('>500', 2.3366127375831636)	('>1k', 3.5689940018158275)	('>5k', 0.0)	('>10k+', 83.79894920148243)
SRR33022263_1	(1.0, 1.2372818145049034)	(2.0, 0.641096350924744)	(3.0, 0.5156872941584331)	(4.0, 0.40130898165219536)	(5.0, 0.2869306691459577)	(6.0, 0.19934130698561278)	(7.0, 0.11949972948412887)	(8.0, 0.08614485993581157)	(9.0, 0.07563938921193211)	('>10', 0.5532443519963021)	('>50', 0.2744554226613509)	('>100', 0.7326252646065439)	('>500', 1.8609128203511978)	('>1k', 11.13737478792081)	('>5k', 35.018542155827646)	('>10k+', 46.85991480063243)
SRR33022263_2	(1.0, 2.466290570814752)	(2.0, 0.3272454130488452)	(3.0, 0.1985533966813218)	(4.0, 0.15495569317722205)	(5.0, 0.10965085068049188)	(6.0, 0.0835184922548417)	(7.0, 0.07169983769047732)	(8.0, 0.06828555970521649)	(9.0, 0.07091192738618636)	('>10', 0.923299558244956)	('>50', 0.5411630606638407)	('>100', 2.4665532075828485)	('>500', 1.8158706146225647)	('>1k', 5.31025281415297)	('>5k', 0.8083959722025245)	('>10k+', 84.58335303109094)
SRR33075535_1	(1.0, 1.9357623395970758)	(2.0, 0.6625555923844353)	(3.0, 0.5494585547619135)	(4.0, 0.5708881061740178)	(5.0, 0.5879467575813867)	(6.0, 0.5791442506274063)	(7.0, 0.5753804200677732)	(8.0, 0.547333811704056)	(9.0, 0.4769744630167223)	('>10', 3.9868678737635515)	('>50', 1.3078704125279708)	('>100', 3.8633899486297834)	('>500', 2.8383531905748827)	('>1k', 10.748650181088816)	('>5k', 6.359598799945121)	('>10k+', 64.40982529755509)
SRR33075535_2	(1.0, 63.60232404346847)	(2.0, 11.53549997325026)	(3.0, 5.219024743768993)	(4.0, 3.988550754871556)	(5.0, 3.3530639978219776)	(6.0, 2.8441243967801992)	(7.0, 2.2113938370546813)	(8.0, 1.725841643503618)	(9.0, 1.3432317847735984)	('>10', 4.176944824706651)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR33075536_1	(1.0, 2.315191345318613)	(2.0, 0.7812687717479233)	(3.0, 0.6865408433188414)	(4.0, 0.7021953434051231)	(5.0, 0.7142820737042989)	(6.0, 0.6972441526801596)	(7.0, 0.5840948822890811)	(8.0, 0.5434659936930567)	(9.0, 0.479683007294997)	('>10', 3.876272656248293)	('>50', 1.3733001215226077)	('>100', 4.518835276068929)	('>500', 3.0876499100412333)	('>1k', 11.624813329187925)	('>5k', 6.449654035548093)	('>10k+', 61.56550825793082)
SRR33075536_2	(1.0, 58.3429421302974)	(2.0, 8.133940665373865)	(3.0, 2.7796782813478047)	(4.0, 1.8364211920056766)	(5.0, 1.5095292187914122)	(6.0, 1.3360993893930624)	(7.0, 1.1588690771100427)	(8.0, 1.0447057030491604)	(9.0, 0.9104864527614281)	('>10', 21.378242160850554)	('>50', 1.5516521048771348)	('>100', 0.017433624142480942)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR33075537_1	(1.0, 2.260541910918884)	(2.0, 0.7882439819685779)	(3.0, 0.6852813165038243)	(4.0, 0.7132380667293534)	(5.0, 0.7094877709673922)	(6.0, 0.6406868905343217)	(7.0, 0.5455657525718505)	(8.0, 0.4904023112731845)	(9.0, 0.43755723462736723)	('>10', 3.2953507924374943)	('>50', 1.316353812448391)	('>100', 4.232242860971081)	('>500', 3.1297922813458245)	('>1k', 14.904152668403622)	('>5k', 6.5595400364528755)	('>10k+', 59.29156231184596)
SRR33075537_2	(1.0, 58.74139405920379)	(2.0, 8.650203368896426)	(3.0, 3.149498419768943)	(4.0, 1.96926664431171)	(5.0, 1.7458671468740972)	(6.0, 1.6200842375527218)	(7.0, 1.5407161689990627)	(8.0, 1.5056708010139908)	(9.0, 1.513168478273899)	('>10', 19.437672785749967)	('>50', 0.12645788935536717)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
