Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR33022255_1	(13.0, 1.0)	(14.0, 14.0)	(15.0, 107.0)	(16.0, 339.0)	(17.0, 558.0)	(18.0, 769.0)	(19.0, 1119.0)	(20.0, 1550.0)	(21.0, 1835.0)	(22.0, 2146.0)	(23.0, 2758.0)	(24.0, 3333.0)	(25.0, 4139.0)	(26.0, 5328.0)	(27.0, 6789.0)	(28.0, 8379.0)	(29.0, 10295.0)	(30.0, 13176.0)	(31.0, 16904.0)	(32.0, 21893.0)	(33.0, 29939.0)	(34.0, 44183.0)	(35.0, 74029.0)	(36.0, 128550.0)	(37.0, 62716.0)											
SRR33022255_2	(10.0, 1.0)	(11.0, 12.0)	(12.0, 66.0)	(13.0, 539.0)	(14.0, 1188.0)	(15.0, 826.0)	(16.0, 710.0)	(17.0, 922.0)	(18.0, 1377.0)	(19.0, 1961.0)	(20.0, 2811.0)	(21.0, 4056.0)	(22.0, 5609.0)	(23.0, 7347.0)	(24.0, 9633.0)	(25.0, 12466.0)	(26.0, 15822.0)	(27.0, 19787.0)	(28.0, 25180.0)	(29.0, 32097.0)	(30.0, 40327.0)	(31.0, 49914.0)	(32.0, 59772.0)	(33.0, 66551.0)	(34.0, 55149.0)	(35.0, 24185.0)	(36.0, 2534.0)	(37.0, 7.0)								
SRR33022256_1	(13.0, 1.0)	(14.0, 3.0)	(15.0, 11.0)	(16.0, 38.0)	(17.0, 87.0)	(18.0, 179.0)	(19.0, 335.0)	(20.0, 580.0)	(21.0, 812.0)	(22.0, 1080.0)	(23.0, 1350.0)	(24.0, 1859.0)	(25.0, 2550.0)	(26.0, 3227.0)	(27.0, 4260.0)	(28.0, 5543.0)	(29.0, 7331.0)	(30.0, 9319.0)	(31.0, 12156.0)	(32.0, 16183.0)	(33.0, 22011.0)	(34.0, 31678.0)	(35.0, 53518.0)	(36.0, 119991.0)	(37.0, 124286.0)											
SRR33022256_2	(12.0, 37.0)	(13.0, 252.0)	(14.0, 531.0)	(15.0, 568.0)	(16.0, 577.0)	(17.0, 765.0)	(18.0, 1160.0)	(19.0, 1606.0)	(20.0, 2274.0)	(21.0, 3134.0)	(22.0, 4397.0)	(23.0, 5747.0)	(24.0, 7456.0)	(25.0, 9634.0)	(26.0, 12231.0)	(27.0, 15594.0)	(28.0, 19674.0)	(29.0, 25235.0)	(30.0, 31933.0)	(31.0, 40287.0)	(32.0, 51240.0)	(33.0, 61289.0)	(34.0, 66554.0)	(35.0, 47067.0)	(36.0, 9096.0)	(37.0, 50.0)										
SRR33022257_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 10.0)	(16.0, 32.0)	(17.0, 94.0)	(18.0, 247.0)	(19.0, 472.0)	(20.0, 771.0)	(21.0, 996.0)	(22.0, 1366.0)	(23.0, 1682.0)	(24.0, 2278.0)	(25.0, 2899.0)	(26.0, 3852.0)	(27.0, 5265.0)	(28.0, 6616.0)	(29.0, 8577.0)	(30.0, 11083.0)	(31.0, 14557.0)	(32.0, 18857.0)	(33.0, 25651.0)	(34.0, 37594.0)	(35.0, 63655.0)	(36.0, 142572.0)	(37.0, 145995.0)											
SRR33022257_2	(11.0, 3.0)	(12.0, 59.0)	(13.0, 335.0)	(14.0, 865.0)	(15.0, 714.0)	(16.0, 723.0)	(17.0, 1048.0)	(18.0, 1606.0)	(19.0, 2207.0)	(20.0, 3077.0)	(21.0, 4318.0)	(22.0, 5945.0)	(23.0, 7423.0)	(24.0, 9783.0)	(25.0, 12530.0)	(26.0, 15743.0)	(27.0, 19859.0)	(28.0, 24939.0)	(29.0, 32025.0)	(30.0, 40171.0)	(31.0, 51346.0)	(32.0, 62648.0)	(33.0, 73550.0)	(34.0, 72745.0)	(35.0, 44230.0)	(36.0, 7204.0)	(37.0, 26.0)									
SRR33022258_1	(13.0, 3.0)	(14.0, 53.0)	(15.0, 266.0)	(16.0, 393.0)	(17.0, 373.0)	(18.0, 495.0)	(19.0, 820.0)	(20.0, 1117.0)	(21.0, 1203.0)	(22.0, 1506.0)	(23.0, 1867.0)	(24.0, 2505.0)	(25.0, 3211.0)	(26.0, 4355.0)	(27.0, 5721.0)	(28.0, 7326.0)	(29.0, 9524.0)	(30.0, 12268.0)	(31.0, 15915.0)	(32.0, 21031.0)	(33.0, 28587.0)	(34.0, 41930.0)	(35.0, 70922.0)	(36.0, 158366.0)	(37.0, 166460.0)											
SRR33022258_2	(11.0, 2.0)	(12.0, 52.0)	(13.0, 502.0)	(14.0, 1153.0)	(15.0, 906.0)	(16.0, 744.0)	(17.0, 777.0)	(18.0, 1053.0)	(19.0, 1551.0)	(20.0, 2273.0)	(21.0, 3298.0)	(22.0, 4647.0)	(23.0, 6294.0)	(24.0, 7851.0)	(25.0, 10631.0)	(26.0, 13660.0)	(27.0, 17598.0)	(28.0, 22850.0)	(29.0, 29787.0)	(30.0, 37942.0)	(31.0, 49644.0)	(32.0, 64797.0)	(33.0, 82209.0)	(34.0, 96498.0)	(35.0, 79435.0)	(36.0, 19922.0)	(37.0, 141.0)									
SRR33022259_1	(13.0, 2.0)	(14.0, 14.0)	(15.0, 188.0)	(16.0, 565.0)	(17.0, 634.0)	(18.0, 545.0)	(19.0, 599.0)	(20.0, 726.0)	(21.0, 944.0)	(22.0, 1286.0)	(23.0, 1686.0)	(24.0, 2194.0)	(25.0, 2849.0)	(26.0, 3788.0)	(27.0, 4978.0)	(28.0, 6415.0)	(29.0, 8155.0)	(30.0, 10557.0)	(31.0, 13939.0)	(32.0, 18178.0)	(33.0, 24355.0)	(34.0, 35151.0)	(35.0, 59573.0)	(36.0, 131465.0)	(37.0, 135986.0)											
SRR33022259_2	(12.0, 23.0)	(13.0, 89.0)	(14.0, 222.0)	(15.0, 342.0)	(16.0, 477.0)	(17.0, 751.0)	(18.0, 1181.0)	(19.0, 1770.0)	(20.0, 2572.0)	(21.0, 3669.0)	(22.0, 4927.0)	(23.0, 6469.0)	(24.0, 8467.0)	(25.0, 10828.0)	(26.0, 13870.0)	(27.0, 17357.0)	(28.0, 22279.0)	(29.0, 28474.0)	(30.0, 36013.0)	(31.0, 45667.0)	(32.0, 57509.0)	(33.0, 69900.0)	(34.0, 73339.0)	(35.0, 49376.0)	(36.0, 9160.0)	(37.0, 41.0)										
